✨1.1.2026, 16:56:11✨ | GET /stats | Status: 200 | 18ms
✨1.1.2026, 16:56:11✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 16:56:11✨ | GET /revenue?months=7 | Status: 200 | 3ms
✨1.1.2026, 16:56:51✨ | GET /current | Status: 200 | 15ms
✨1.1.2026, 16:56:51✨ | GET /new-customers?months=7 | Status: 200 | 11ms
✨1.1.2026, 16:56:51✨ | GET /current | Status: 200 | 11ms
✨1.1.2026, 16:56:51✨ | GET /new-customers?months=7 | Status: 200 | 8ms
✨1.1.2026, 16:56:51✨ | GET /stats | Status: 200 | 29ms
✨1.1.2026, 16:56:51✨ | GET /stats | Status: 200 | 17ms
✨1.1.2026, 16:56:51✨ | GET /revenue?months=7 | Status: 200 | 3ms
✨1.1.2026, 16:56:51✨ | GET /revenue?months=7 | Status: 200 | 3ms
✨1.1.2026, 16:58:30✨ | GET /current | Status: 200 | 15ms
✨1.1.2026, 16:58:30✨ | GET /new-customers?months=7 | Status: 200 | 13ms
✨1.1.2026, 16:58:30✨ | GET /stats | Status: 200 | 183ms
✨1.1.2026, 16:58:30✨ | GET /current | Status: 200 | 6ms
✨1.1.2026, 16:58:30✨ | GET /new-customers?months=7 | Status: 200 | 32ms
✨1.1.2026, 16:58:30✨ | GET /stats | Status: 200 | 35ms
✨1.1.2026, 16:58:30✨ | GET /revenue?months=7 | Status: 200 | 3ms
✨1.1.2026, 16:58:30✨ | GET /revenue?months=7 | Status: 200 | 3ms
✨1.1.2026, 16:58:35✨ | GET /current | Status: 200 | 12ms
✨1.1.2026, 16:58:35✨ | GET /new-customers?months=7 | Status: 200 | 10ms
✨1.1.2026, 16:58:35✨ | GET /current | Status: 200 | 9ms
✨1.1.2026, 16:58:35✨ | GET /new-customers?months=7 | Status: 200 | 7ms
✨1.1.2026, 16:58:35✨ | GET /stats | Status: 200 | 42ms
✨1.1.2026, 16:58:36✨ | GET /stats | Status: 200 | 25ms
✨1.1.2026, 16:58:36✨ | GET /revenue?months=7 | Status: 200 | 3ms
✨1.1.2026, 16:58:36✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 16:59:02✨ | GET /current | Status: 200 | 13ms
✨1.1.2026, 16:59:02✨ | GET /new-customers?months=7 | Status: 200 | 11ms
✨1.1.2026, 16:59:02✨ | GET /current | Status: 200 | 9ms
✨1.1.2026, 16:59:02✨ | GET /new-customers?months=7 | Status: 200 | 8ms
✨1.1.2026, 16:59:02✨ | GET /stats | Status: 200 | 28ms
✨1.1.2026, 16:59:02✨ | GET /stats | Status: 200 | 12ms
✨1.1.2026, 16:59:02✨ | GET /revenue?months=7 | Status: 200 | 4ms
✨1.1.2026, 16:59:02✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 16:59:04✨ | GET / | Status: 200 | 5ms
✨1.1.2026, 16:59:04✨ | GET / | Status: 200 | 5ms
✨1.1.2026, 16:59:04✨ | GET / | Status: 200 | 5ms
✨1.1.2026, 16:59:04✨ | GET / | Status: 200 | 5ms
✨1.1.2026, 16:59:14✨ | GET /current | Status: 200 | 13ms
✨1.1.2026, 16:59:15✨ | GET /new-customers?months=7 | Status: 200 | 9ms
✨1.1.2026, 16:59:15✨ | GET /current | Status: 200 | 9ms
✨1.1.2026, 16:59:15✨ | GET /stats | Status: 200 | 27ms
✨1.1.2026, 16:59:15✨ | GET /new-customers?months=7 | Status: 200 | 12ms
✨1.1.2026, 16:59:15✨ | GET /stats | Status: 200 | 12ms
✨1.1.2026, 16:59:15✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 16:59:15✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 16:59:23✨ | GET /current | Status: 200 | 10ms
✨1.1.2026, 16:59:23✨ | GET /new-customers?months=7 | Status: 200 | 7ms
✨1.1.2026, 17:00:47✨ | GET /current | Status: 200 | 54ms
✨1.1.2026, 17:00:47✨ | GET /new-customers?months=7 | Status: 200 | 45ms
✨1.1.2026, 17:00:47✨ | GET /stats | Status: 200 | 64ms
✨1.1.2026, 17:00:47✨ | GET /revenue?months=7 | Status: 200 | 4ms
✨1.1.2026, 17:00:48✨ | GET /current | Status: 200 | 18ms
✨1.1.2026, 17:00:48✨ | GET /new-customers?months=7 | Status: 200 | 15ms
✨1.1.2026, 17:00:48✨ | GET /stats | Status: 200 | 20ms
✨1.1.2026, 17:00:48✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 17:01:58✨ | GET /current | Status: 200 | 16ms
✨1.1.2026, 17:01:58✨ | GET /new-customers?months=7 | Status: 200 | 13ms
✨1.1.2026, 17:01:58✨ | GET /stats | Status: 200 | 20ms
✨1.1.2026, 17:01:59✨ | GET /new-customers?months=7 | Status: 200 | 12ms
✨1.1.2026, 17:01:59✨ | GET /current | Status: 200 | 12ms
✨1.1.2026, 17:01:59✨ | GET /stats | Status: 200 | 18ms
✨1.1.2026, 17:01:59✨ | GET /revenue?months=7 | Status: 200 | 3ms
✨1.1.2026, 17:01:59✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 17:02:10✨ | GET /current | Status: 200 | 5ms
✨1.1.2026, 17:02:10✨ | GET /new-customers?months=7 | Status: 200 | 6ms
✨1.1.2026, 17:02:10✨ | GET /stats | Status: 200 | 51ms
✨1.1.2026, 17:02:10✨ | GET /new-customers?months=7 | Status: 200 | 8ms
✨1.1.2026, 17:02:10✨ | GET /current | Status: 200 | 7ms
✨1.1.2026, 17:02:10✨ | GET /stats | Status: 200 | 13ms
✨1.1.2026, 17:02:11✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 17:02:11✨ | GET /revenue?months=7 | Status: 200 | 3ms
✨1.1.2026, 17:02:16✨ | GET /current | Status: 200 | 13ms
✨1.1.2026, 17:02:16✨ | GET /new-customers?months=7 | Status: 200 | 10ms
✨1.1.2026, 17:02:16✨ | GET /stats | Status: 200 | 17ms
✨1.1.2026, 17:02:16✨ | GET /current | Status: 200 | 11ms
✨1.1.2026, 17:02:16✨ | GET /new-customers?months=7 | Status: 200 | 15ms
✨1.1.2026, 17:02:16✨ | GET /stats | Status: 200 | 16ms
✨1.1.2026, 17:02:17✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 17:02:17✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 17:02:22✨ | GET /current | Status: 200 | 16ms
✨1.1.2026, 17:02:22✨ | GET /new-customers?months=7 | Status: 200 | 12ms
✨1.1.2026, 17:02:22✨ | GET /current | Status: 200 | 13ms
✨1.1.2026, 17:02:22✨ | GET /new-customers?months=7 | Status: 200 | 13ms
✨1.1.2026, 17:02:22✨ | GET /stats | Status: 200 | 54ms
✨1.1.2026, 17:02:22✨ | GET /stats | Status: 200 | 20ms
✨1.1.2026, 17:02:22✨ | GET /revenue?months=7 | Status: 200 | 2ms
